Document,DI,TotalCitation,TCperYear,NormalizedTC
"Mehandru N., 2024, npj Digital Medicine",10.1038/s41746-024-01083-y,0,0.0,0.0
"Mehdipour chari K., 2024, Regenerative Therapy",10.1016/j.reth.2024.02.011,0,0.0,0.0
"Mehler-Klamt A.C., 2024, Discover Social Science and Health",10.1007/s44155-024-00074-4,0,0.0,0.0
"Mekonen B., 2024, Malaria Journal",10.1186/s12936-024-04904-3,0,0.0,0.0
"Mekonnen G., 2024, Scientific Reports",10.1038/s41598-024-56371-0,0,0.0,0.0
"Melis R., 2024, Scientific Reports",10.1038/s41598-024-57726-3,0,0.0,0.0
"Melones-Herrero J., 2024, Communications Biology",10.1038/s42003-024-06052-5,0,0.0,0.0
"Memedovich A., 2024, BMC Emergency Medicine",10.1186/s12873-024-00970-7,0,0.0,0.0
"Meng M., 2024, BMC Health Services Research",10.1186/s12913-024-10860-0,0,0.0,0.0
"Mengist B., 2024, BMC Health Services Research",10.1186/s12913-024-10825-3,0,0.0,0.0
"Merz S., 2024, International Journal for Equity in Health",10.1186/s12939-024-02156-w,0,0.0,0.0
"Metta E., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06396-0,0,0.0,0.0
"Michels-Zetsche J.D., 2024, BMC Medical Education",10.1186/s12909-024-05416-z,0,0.0,0.0
"Mikkelsen T.H., 2024, BMC Health Services Research",10.1186/s12913-024-10992-3,0,0.0,0.0
"Miles T.T., 2024, BMC Health Services Research",10.1186/s12913-024-10996-z,0,0.0,0.0
"Miller C.R., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-03061-x,0,0.0,0.0
"Miller J.-P., 2024, BMC Health Services Research",10.1186/s12913-024-10971-8,0,0.0,0.0
"Mira J.J., 2024, BMC Medical Education",10.1186/s12909-024-05336-y,0,0.0,0.0
"Moe J., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00616-2,0,0.0,0.0
"Moeinnia H., 2024, npj Flexible Electronics",10.1038/s41528-024-00309-z,0,0.0,0.0
"Moger T.A., 2024, BMC Health Services Research",10.1186/s12913-024-10975-4,0,0.0,0.0
"Mohan G., 2024, Discover Artificial Intelligence",10.1007/s44163-024-00110-x,0,0.0,0.0
"Molina J.D., 2024, Scientific Reports",10.1038/s41598-024-58884-0,0,0.0,0.0
"Montesanti S., 2024, BMC Primary Care",10.1186/s12875-024-02396-3,0,0.0,0.0
"Montoya I.D., 2024, Addiction Science and Clinical Practice",10.1186/s13722-024-00454-w,0,0.0,0.0
"Moore J.D., 2024, BMC Health Services Research",10.1186/s12913-024-10807-5,0,0.0,0.0
"Morales-Rodriguez D.P., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01318-8,0,0.0,0.0
"Mortier P., 2024, BMC Psychiatry",10.1186/s12888-024-05659-6,0,0.0,0.0
"Moss P., 2024, BMC Health Services Research",10.1186/s12913-024-10920-5,0,0.0,0.0
"Motamedi M., 2024, BMC Health Services Research",10.1186/s12913-024-10791-w,0,0.0,0.0
"Mourits B.M.P., 2024, Journal of Patient-Reported Outcomes",10.1186/s41687-024-00724-w,0,0.0,0.0
"Moñivas Gallego E., 2024, Regenerative Therapy",10.1016/j.reth.2024.03.026,0,0.0,0.0
"Mun M., 2024, BMC Nursing",10.1186/s12912-024-01903-2,0,0.0,0.0
"Munneke W., 2024, BMC Medical Education",10.1186/s12909-024-05308-2,0,0.0,0.0
"Murias Quintana E., 2024, BMC Medical Education",10.1186/s12909-024-05324-2,0,0.0,0.0
"Murray R., 2024, Systematic Reviews",10.1186/s13643-024-02518-z,0,0.0,0.0
"Murugesu L., 2024, PEC Innovation",10.1016/j.pecinn.2024.100278,0,0.0,0.0
"Muscogiuri G., 2024, Journal of Translational Medicine",10.1186/s12967-024-05007-y,0,0.0,0.0
"Mushi D., 2024, BMC Health Services Research",10.1186/s12913-024-10687-9,0,0.0,0.0
"Mwakawanga D.L., 2024, BMC Women's Health",10.1186/s12905-024-03034-x,0,0.0,0.0
"Myklebust L.H., 2024, BMC Health Services Research",10.1186/s12913-024-10767-w,0,0.0,0.0
"Möckli N., 2024, BMC Health Services Research",10.1186/s12913-024-10751-4,0,0.0,0.0
"Møller O.M., 2024, BMC Health Services Research",10.1186/s12913-024-10868-6,0,0.0,0.0
"Nabei J.N., 2024, BMC Infectious Diseases",10.1186/s12879-024-09247-7,0,0.0,0.0
"Naesager A.H.D., 2024, BMC Psychiatry",10.1186/s12888-024-05743-x,0,0.0,0.0
"Naidoo S., 2024, Chiropractic and Manual Therapies",10.1186/s12998-024-00534-3,0,0.0,0.0
"Nakajo K., 2024, International Journal of Colorectal Disease",10.1007/s00384-024-04636-5,0,0.0,0.0
"Namsrai T., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03152-7,0,0.0,0.0
"Nan S.N., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02456-9,0,0.0,0.0
"Nanaw J., 2024, BMC Public Health",10.1186/s12889-024-18526-6,0,0.0,0.0
"Nandagopal M., 2024, Scientific Reports",10.1038/s41598-024-59846-2,0,0.0,0.0
"Nanninga E.K., 2024, BMC Health Services Research",10.1186/s12913-024-10737-2,0,0.0,0.0
"Nasrabadi A.N., 2024, Health in Emergencies and Disasters Quarterly",10.32598/hdq.9.2.556.1,0,0.0,0.0
"Nassar M., 2024, BMC Medical Education",10.1186/s12909-024-05488-x,0,0.0,0.0
"Nasser S.C., 2024, BMC Medical Education",10.1186/s12909-024-05425-y,0,0.0,0.0
"Naz L., 2024, BMC Public Health",10.1186/s12889-024-18320-4,0,0.0,0.0
"Naznin F., 2024, Social Network Analysis and Mining",10.1007/s13278-024-01241-w,0,0.0,0.0
"Ndasauka Y., 2024, Scientific Reports",10.1038/s41598-024-60042-5,0,0.0,0.0
"Nelson B.W., 2024, BMC Public Health",10.1186/s12889-024-18412-1,0,0.0,0.0
"Nelson K., 2024, BMC Public Health",10.1186/s12889-024-18390-4,0,0.0,0.0
"Nengnong C.B., 2024, Malaria Journal",10.1186/s12936-024-04905-2,0,0.0,0.0
"Newlands R., 2024, BMC Health Services Research",10.1186/s12913-024-10926-z,0,0.0,0.0
"Newson R.S., 2024, BMC Primary Care",10.1186/s12875-024-02390-9,0,0.0,0.0
"Ngomtcho S.C.H., 2024, BMC Infectious Diseases",10.1186/s12879-024-09119-0,0,0.0,0.0
"Nguyen H.B., 2024, Infectious Diseases of Poverty",10.1186/s40249-024-01196-2,0,0.0,0.0
"Nichol P.F., 2024, BMC Surgery",10.1186/s12893-024-02407-1,0,0.0,0.0
"Nielsen L.D., 2024, BMC Medical Education",10.1186/s12909-024-05259-8,0,0.0,0.0
"Niemenoja O., 2024, BMC Health Services Research",10.1186/s12913-024-10987-0,0,0.0,0.0
"Nili M., 2024, BMC Pulmonary Medicine",10.1186/s12890-024-02929-7,0,0.0,0.0
"Nisim U., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00605-z,0,0.0,0.0
"Nithya R., 2024, Network Modeling Analysis in Health Informatics and Bioinformatics",10.1007/s13721-024-00447-4,0,0.0,0.0
"Nixon P., 2024, BMC Health Services Research",10.1186/s12913-024-11024-w,0,0.0,0.0
"Noel N.L., 2024, Reproductive Health",10.1186/s12978-024-01777-2,0,0.0,0.0
"Nordeck C.D., 2024, Addiction Science and Clinical Practice",10.1186/s13722-024-00463-9,0,0.0,0.0
"Nordgren J., 2024, Addiction Science and Clinical Practice",10.1186/s13722-024-00458-6,0,0.0,0.0
"Norouzkhani N., 2024, BMC Gastroenterology",10.1186/s12876-024-03214-x,0,0.0,0.0
"Nsubuga M., 2024, BMC Genomics",10.1186/s12864-024-10214-4,0,0.0,0.0
"Nummedal M.A., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00638-w,0,0.0,0.0
"Nyande F.K., 2024, BMC Nursing",10.1186/s12912-024-01811-5,0,0.0,0.0
"Nyiringango G., 2024, BMC Medical Education",10.1186/s12909-024-05440-z,0,0.0,0.0
"Obadan-Udoh E., 2024, BMC Oral Health",10.1186/s12903-024-04030-1,0,0.0,0.0
"Odongo D.O., 2024, BMC Public Health",10.1186/s12889-024-18592-w,0,0.0,0.0
"Oftring Z.S., 2024, BMC Pediatrics",10.1186/s12887-024-04730-1,0,0.0,0.0
"Ogugu E.G., 2024, International Journal for Equity in Health",10.1186/s12939-024-02181-9,0,0.0,0.0
"Ogunbajo A., 2024, BMC Primary Care",10.1186/s12875-024-02370-z,0,0.0,0.0
"Ogut E., 2024, Beni-Suef University Journal of Basic and Applied Sciences",10.1186/s43088-024-00491-z,0,0.0,0.0
"Ohbe H., 2024, Journal of Intensive Care",10.1186/s40560-024-00718-2,0,0.0,0.0
"Ohlenburg H., 2024, BMC Medical Education",10.1186/s12909-024-05438-7,0,0.0,0.0
"Ohta R., 2024, BMC Primary Care",10.1186/s12875-024-02379-4,0,0.0,0.0
"Okonji A.M., 2024, BMC Psychology",10.1186/s40359-024-01721-w,0,0.0,0.0
"Okyere J., 2024, BMC Health Services Research",10.1186/s12913-024-10881-9,0,0.0,0.0
"Okyere J., 2024, BMC Public Health",10.1186/s12889-024-18552-4,0,0.0,0.0
"Olatunji G., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00607-3,0,0.0,0.0
"Olwanda E., 2024, BMC Women's Health",10.1186/s12905-024-02965-9,0,0.0,0.0
"Omale U.I., 2024, Malaria Journal",10.1186/s12936-024-04958-3,0,0.0,0.0
"Ordóñez J.E., 2024, BMC Infectious Diseases",10.1186/s12879-024-09300-5,0,0.0,0.0
"Orellana M., 2024, BMC Women's Health",10.1186/s12905-024-03008-z,0,0.0,0.0
"Oriokot L., 2024, BMC Medical Education",10.1186/s12909-024-05412-3,0,0.0,0.0
"Orozco-Núñez E., 2024, Health Research Policy and Systems",10.1186/s12961-024-01125-7,0,0.0,0.0
"Ortiz-Barrios M., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00626-0,0,0.0,0.0
"Oseni A.O., 2024, CVIR Endovascular",10.1186/s42155-024-00442-w,0,0.0,0.0
"Ostrach B., 2024, Health and Justice",10.1186/s40352-024-00270-z,0,0.0,0.0
"Ouanes S., 2024, Annals of General Psychiatry",10.1186/s12991-024-00499-w,0,0.0,0.0
"Owusu B.A., 2024, BMC Public Health",10.1186/s12889-024-18590-y,0,0.0,0.0
"O’Neill S.F.D., 2024, Chiropractic and Manual Therapies",10.1186/s12998-024-00532-5,0,0.0,0.0
"Packendorff N., 2024, Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",10.1186/s13049-024-01209-x,0,0.0,0.0
"Zhang Z., 2024, Discover Nano",10.1186/s11671-024-04004-w,0,0.0,0.0
"Pajunen H., 2024, Scientific Reports",10.1038/s41598-024-56835-3,0,0.0,0.0
"Ahmed F., 2024, BMC Public Health",10.1186/s12889-024-18377-1,0,0.0,0.0
"Pan Y., 2024, BMC Nephrology",10.1186/s12882-024-03575-1,0,0.0,0.0
"Panahi N., 2024, BMC Geriatrics",10.1186/s12877-024-04878-6,0,0.0,0.0
"Panda R., 2024, Human Resources for Health",10.1186/s12960-024-00907-y,0,0.0,0.0
"Pandolfi E., 2024, BMC Infectious Diseases",10.1186/s12879-024-09229-9,0,0.0,0.0
"Paniagua-Avila A., 2024, Implementation Science Communications",10.1186/s43058-024-00560-5,0,0.0,0.0
"Paramalingam A., 2024, BMC Emergency Medicine",10.1186/s12873-024-00972-5,0,0.0,0.0
"Park J.S., 2024, BMC Emergency Medicine",10.1186/s12873-024-00978-z,0,0.0,0.0
"Parrón I., 2024, Epidemiology and Infection",10.1017/S0950268823001851,0,0.0,0.0
"Parsons Leigh J., 2024, Archives of Public Health",10.1186/s13690-024-01279-4,0,0.0,0.0
"Pasay-an E., 2024, BMC Nursing",10.1186/s12912-024-01950-9,0,0.0,0.0
"Patel V.C., 2024, Trials",10.1186/s13063-024-08063-3,0,0.0,0.0
"Pearson A., 2024, BMC Health Services Research",10.1186/s12913-024-10884-6,0,0.0,0.0
"Pedersen S., 2024, BMC Medical Education",10.1186/s12909-024-05426-x,0,0.0,0.0
"Peter S., 2024, BMC Health Services Research",10.1186/s12913-024-11017-9,0,0.0,0.0
"Pettersen S., 2024, BMC Health Services Research",10.1186/s12913-024-10867-7,0,0.0,0.0
"Peyman H., 2024, Archives of Osteoporosis",10.1007/s11657-024-01380-9,0,0.0,0.0
"Pfeuffer N., 2024, BMC Health Services Research",10.1186/s12913-024-10888-2,0,0.0,0.0
"Piccoli L., 2024, Comparative Migration Studies",10.1186/s40878-024-00372-5,0,0.0,0.0
"Pineda P., 2024, BMC Medical Education",10.1186/s12909-024-05443-w,0,0.0,0.0
"Pinsky M.R., 2024, Critical Care",10.1186/s13054-024-04860-z,0,0.0,0.0
"Pinto e Vairo F., 2024, Journal of Translational Medicine",10.1186/s12967-024-05185-9,0,0.0,0.0
"Piret E.M., 2024, Harm Reduction Journal",10.1186/s12954-024-00956-5,0,0.0,0.0
"Piroozi B., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06492-1,0,0.0,0.0
"Pithavadian R., 2024, BMC Women's Health",10.1186/s12905-024-03026-x,0,0.0,0.0
"Pomey M.-P., 2024, European Journal of Medical Research",10.1186/s40001-024-01803-w,0,0.0,0.0
"Powell D., 2024, npj Digital Medicine",10.1038/s41746-024-01087-8,0,0.0,0.0
"Pozdzik A., 2024, Urolithiasis",10.1007/s00240-024-01563-6,0,0.0,0.0
"Pozo-Rosich P., 2024, BMC Neurology",10.1186/s12883-024-03600-8,0,0.0,0.0
"Pozo-Rosich P., 2024, Journal of Headache and Pain",10.1186/s10194-024-01747-w,0,0.0,0.0
"Pungchompoo W., 2024, BMC Geriatrics",10.1186/s12877-024-04981-8,0,0.0,0.0
"Qi X., 2024, Systematic Reviews",10.1186/s13643-024-02507-2,0,0.0,0.0
"Qiao X., 2024, Cell Communication and Signaling",10.1186/s12964-024-01620-y,0,0.0,0.0
"Quaidoo T.G., 2024, BMC Palliative Care",10.1186/s12904-024-01411-9,0,0.0,0.0
"Quayle E., 2024, BMC Psychiatry",10.1186/s12888-024-05605-6,0,0.0,0.0
"Queiroz G., 2024, BMC Public Health",10.1186/s12889-024-17761-1,0,0.0,0.0
"Quek J.S., 2024, BMC Primary Care",10.1186/s12875-024-02368-7,0,0.0,0.0
"Quist A.J.L., 2024, Environmental Health: A Global Access Science Source",10.1186/s12940-024-01071-5,0,0.0,0.0
"Rae V.I., 2024, BMC Medical Education",10.1186/s12909-024-05413-2,0,0.0,0.0
"Rahban A., 2024, Health Policy OPEN",10.1016/j.hpopen.2024.100120,0,0.0,0.0
"Rahimi Esbo S., 2024, BMC Psychology",10.1186/s40359-024-01685-x,0,0.0,0.0
"Rakers M., 2024, BMC Primary Care",10.1186/s12875-024-02355-y,0,0.0,0.0
"Ramadan A., 2024, BMC Public Health",10.1186/s12889-024-18553-3,0,0.0,0.0
"Ramadani R.V., 2024, BMC Public Health",10.1186/s12889-024-18301-7,0,0.0,0.0
"Ramalingam S., 2024, Journal of Advanced Research in Applied Sciences and Engineering Technology",10.37934/araset.42.2.122132,0,0.0,0.0
"Raman R., 2024, Journal of Big Data",10.1186/s40537-024-00920-x,0,0.0,0.0
"Randriamboarison D., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06404-3,0,0.0,0.0
"Rawas S., 2024, Discover Artificial Intelligence",10.1007/s44163-024-00118-3,0,0.0,0.0
"Rayan-Gharra N., 2024, BMC Medical Education",10.1186/s12909-024-05272-x,0,0.0,0.0
"Raycheva R., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03162-5,0,0.0,0.0
"Reddy S., 2024, Implementation Science",10.1186/s13012-024-01357-9,0,0.0,0.0
"Reeves V., 2024, BMC Psychiatry",10.1186/s12888-024-05664-9,0,0.0,0.0
"Regehr C., 2024, Advances in Simulation",10.1186/s41077-024-00286-3,0,0.0,0.0
"Reis S.P., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00608-w,0,0.0,0.0
"Richelle L., 2024, BMC Medical Education",10.1186/s12909-024-05380-8,0,0.0,0.0
"Ridha B., 2024, BMC Emergency Medicine",10.1186/s12873-024-00990-3,0,0.0,0.0
"Rio C.J., 2024, Systematic Reviews",10.1186/s13643-024-02498-0,0,0.0,0.0
"Rizan C., 2024, Journal of Robotic Surgery",10.1007/s11701-024-01899-6,0,0.0,0.0
"Roach P., 2024, BMC Medical Ethics",10.1186/s12910-024-01045-9,0,0.0,0.0
"de Carvalho Matias E.G., 2024, Scientific Reports",10.1038/s41598-024-58441-9,0,0.0,0.0
"da Cunha Agostini L., 2024, Molecular Biology Reports",10.1007/s11033-024-09437-1,0,0.0,0.0
"Rokicki S., 2024, BMC Public Health",10.1186/s12889-024-18517-7,0,0.0,0.0
"Rolke K., 2024, BMC Health Services Research",10.1186/s12913-024-11052-6,0,0.0,0.0
"Abbaticchio A., 2024, BMC Health Services Research",10.1186/s12913-024-10966-5,0,0.0,0.0
"Rosenblum O., 2024, BMC Medical Education",10.1186/s12909-024-05381-7,0,0.0,0.0
"Rosvall A., 2024, Journal of Patient-Reported Outcomes",10.1186/s41687-024-00710-2,0,0.0,0.0
"Rosário J., 2024, BMC Public Health",10.1186/s12889-024-18358-4,0,0.0,0.0
"Rueger M.S., 2024, BMC Psychiatry",10.1186/s12888-024-05784-2,0,0.0,0.0
"Rui J., 2024, Infectious Diseases of Poverty",10.1186/s40249-024-01195-3,0,0.0,0.0
"Rwigi D., 2024, BMC Microbiology",10.1186/s12866-024-03284-7,0,0.0,0.0
"Sabahno H., 2024, Scientific Reports",10.1038/s41598-024-59549-8,0,0.0,0.0
"Sabherwal A.K., 2024, Discover Sustainability",10.1007/s43621-024-00213-6,0,0.0,0.0
"Saboor A., 2024, Scientific Reports",10.1038/s41598-024-56983-6,0,0.0,0.0
"Saeidnia H.R., 2024, Scientific Reports",10.1038/s41598-024-61068-5,0,0.0,0.0
"Abensur Vuillaume L., 2024, BMC Medical Education",10.1186/s12909-024-05429-8,0,0.0,0.0
"Salameh B., 2024, BMC Nursing",10.1186/s12912-024-01897-x,0,0.0,0.0
"Saleem A., 2024, Egyptian Journal of Otolaryngology",10.1186/s43163-024-00598-1,0,0.0,0.0
"Sales R.K., 2024, Health Research Policy and Systems",10.1186/s12961-024-01142-6,0,0.0,0.0
"Salussolia A., 2024, BMC Infectious Diseases",10.1186/s12879-024-09344-7,0,0.0,0.0
"Sambodo N.P., 2024, Environmental Health: A Global Access Science Source",10.1186/s12940-024-01079-x,0,0.0,0.0
"Sangiorgi L., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03185-y,0,0.0,0.0
"Sarani A., 2024, BMC Emergency Medicine",10.1186/s12873-024-00993-0,0,0.0,0.0
"Sarubo M., 2024, Scientific Reports",10.1038/s41598-024-57478-0,0,0.0,0.0
"Sasaki N., 2024, Pilot and Feasibility Studies",10.1186/s40814-024-01481-9,0,0.0,0.0
"Saturno-Hernández P., 2024, BMC Health Services Research",10.1186/s12913-024-10937-w,0,0.0,0.0
"Schmachtenberg T., 2024, BMC Public Health",10.1186/s12889-024-18380-6,0,0.0,0.0
"Schmid S.V., 2024, BMC Pediatrics",10.1186/s12887-024-04758-3,0,0.0,0.0
"Aboelnaga N., 2024, Cell Communication and Signaling",10.1186/s12964-024-01511-2,0,0.0,0.0
"Schmitt T., 2024, Health Research Policy and Systems",10.1186/s12961-024-01143-5,0,0.0,0.0
"Schulmann K., 2024, BMC Health Services Research",10.1186/s12913-024-11048-2,0,0.0,0.0
"Schwartzberg E., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00600-4,0,0.0,0.0
"Scutari M., 2024, Scientific Reports",10.1038/s41598-024-60937-3,0,0.0,0.0
"Sedgwick M., 2024, BMC Palliative Care",10.1186/s12904-024-01440-4,0,0.0,0.0
"Segar L.B., 2024, BMC Psychiatry",10.1186/s12888-024-05632-3,0,0.0,0.0
"Sehgal A., 2024, BMC Primary Care",10.1186/s12875-024-02362-z,0,0.0,0.0
"Sepahvand F., 2024, BMC Psychology",10.1186/s40359-024-01722-9,0,0.0,0.0
"Servadio M., 2024, Italian Journal of Pediatrics",10.1186/s13052-024-01627-8,0,0.0,0.0
"Shahrzad S., 2024, BMC Nursing",10.1186/s12912-024-01932-x,0,0.0,0.0
"Shakhshir M.H., 2024, BMC Cancer",10.1186/s12885-024-12289-4,0,0.0,0.0
"Shaltynov A., 2024, Scientific Reports",10.1038/s41598-024-59742-9,0,0.0,0.0
"Abu-Lubad M.A., 2024, Journal of the Egyptian Public Health Association",10.1186/s42506-024-00153-z,0,0.0,0.0
"Sharif-Nia H., 2024, Scientific Reports",10.1038/s41598-024-60679-2,0,0.0,0.0
"Shen J., 2024, Trials",10.1186/s13063-024-08049-1,0,0.0,0.0
"Shen S., 2024, BMC Geriatrics",10.1186/s12877-024-04964-9,0,0.0,0.0
"Shi H., 2024, International Journal for Equity in Health",10.1186/s12939-024-02146-y,0,0.0,0.0
"Shirai C., 2024, BMC Health Services Research",10.1186/s12913-024-10814-6,0,0.0,0.0
"Shrestha R., 2024, BMC Women's Health",10.1186/s12905-024-03064-5,0,0.0,0.0
"Silcox C., 2024, npj Digital Medicine",10.1038/s41746-024-01097-6,0,0.0,0.0
"Simegn W., 2024, BMC Women's Health",10.1186/s12905-024-03036-9,0,0.0,0.0
"Simons M., 2024, BMC Medical Education",10.1186/s12909-024-05409-y,0,0.0,0.0
"Simuyemba M.C., 2024, BMC Infectious Diseases",10.1186/s12879-024-09222-2,0,0.0,0.0
"Sineke T., 2024, BMC Public Health",10.1186/s12889-024-18471-4,0,0.0,0.0
"Singer L., 2024, BMC Medical Education",10.1186/s12909-024-05278-5,0,0.0,0.0
"Singh K., 2024, Health and Justice",10.1186/s40352-024-00274-9,0,0.0,0.0
"Singh R., 2024, Scientific Reports",10.1038/s41598-024-58717-0,0,0.0,0.0
"Sivanandam L.K., 2024, Journal of Medical Case Reports",10.1186/s13256-024-04455-w,0,0.0,0.0
"Smythe T., 2024, BMC Health Services Research",10.1186/s12913-024-10918-z,0,0.0,0.0
"Solbakken L.E., 2024, BMC Psychiatry",10.1186/s12888-024-05736-w,0,0.0,0.0
"Solh Dost L., 2024, BMC Health Services Research",10.1186/s12913-024-10959-4,0,0.0,0.0
"Solis E.C., 2024, Trials",10.1186/s13063-024-08033-9,0,0.0,0.0
"Sommer D., 2024, BMC Nursing",10.1186/s12912-024-01884-2,0,0.0,0.0
"Song W., 2024, Network Modeling Analysis in Health Informatics and Bioinformatics",10.1007/s13721-024-00449-2,0,0.0,0.0
"Sooro M.A., 2024, BMC Complementary Medicine and Therapies",10.1186/s12906-024-04388-3,0,0.0,0.0
"Srichalerm T., 2024, International Breastfeeding Journal",10.1186/s13006-024-00620-5,0,0.0,0.0
"Steel A., 2024, BMC Primary Care",10.1186/s12875-024-02359-8,0,0.0,0.0
"Stenmarck M.S., 2024, BMC Health Services Research",10.1186/s12913-024-10892-6,0,0.0,0.0
"Stewart D., 2024, Globalization and Health",10.1186/s12992-024-01031-1,0,0.0,0.0
"Stroth L.C., 2024, BMC Health Services Research",10.1186/s12913-024-10848-w,0,0.0,0.0
"Su J.J., 2024, BMC Nursing",10.1186/s12912-024-01827-x,0,0.0,0.0
"Su M., 2024, BMC Public Health",10.1186/s12889-024-18068-x,0,0.0,0.0
"Sudha G., 2024, Health Information Science and Systems",10.1007/s13755-024-00284-9,0,0.0,0.0
"Sulaiman N., 2024, BMC Medical Education",10.1186/s12909-024-05134-6,0,0.0,0.0
"Sun T.-H., 2024, Nature Communications",10.1038/s41467-024-47472-5,0,0.0,0.0
"Sung B., 2024, BMC Health Services Research",10.1186/s12913-024-10947-8,0,0.0,0.0
"Svendsen S.J., 2024, BMC Palliative Care",10.1186/s12904-024-01434-2,0,0.0,0.0
"Szabo S.M., 2024, International Journal of Technology Assessment in Health Care",10.1017/S0266462323002829,0,0.0,0.0
"Szadkowski B., 2024, Scientific Reports",10.1038/s41598-024-59105-4,0,0.0,0.0
"Abuawad M., 2024, BMC Medical Education",10.1186/s12909-024-05276-7,0,0.0,0.0
"Sánchez-Valle J., 2024, BMC Medicine",10.1186/s12916-024-03384-1,0,0.0,0.0
"Søjbjerg A., 2024, Trials",10.1186/s13063-024-08115-8,0,0.0,0.0
"Sørensen L., 2024, BMC Health Services Research",10.1186/s12913-024-10857-9,0,0.0,0.0
"Sיhafran Tikva S., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00601-3,0,0.0,0.0
"Taborda J.C.M., 2024, BMC Medical Education",10.1186/s12909-024-05354-w,0,0.0,0.0
"Takougang I., 2024, BMC Health Services Research",10.1186/s12913-024-10855-x,0,0.0,0.0
"Taladay-Carter C., 2024, PEC Innovation",10.1016/j.pecinn.2024.100276,0,0.0,0.0
"Tamanna S.S., 2024, BMC Nursing",10.1186/s12912-024-01870-8,0,0.0,0.0
"Tan R., 2024, BMC Primary Care",10.1186/s12875-024-02349-w,0,0.0,0.0
"Tang S., 2024, Pilot and Feasibility Studies",10.1186/s40814-024-01474-8,0,0.0,0.0
"Taqi M., 2024, BMC Primary Care",10.1186/s12875-024-02398-1,0,0.0,0.0
"Taqif H., 2024, BMC Health Services Research",10.1186/s12913-024-10899-z,0,0.0,0.0
"Tartari E., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01399-0,0,0.0,0.0
"Tassie E., 2024, BMC Health Services Research",10.1186/s12913-024-10553-8,0,0.0,0.0
"Tavakoli F., 2024, BMC Health Services Research",10.1186/s12913-024-11049-1,0,0.0,0.0
"Telles V.M., 2024, BMC Health Services Research",10.1186/s12913-024-10749-y,0,0.0,0.0
"Tesfay W., 2024, BMC Pediatrics",10.1186/s12887-024-04711-4,0,0.0,0.0
"Thambinathan V., 2024, BMC Health Services Research",10.1186/s12913-023-10140-3,0,0.0,0.0
"Thangavelu P.D., 2024, BMC Medical Ethics",10.1186/s12910-024-01028-w,0,0.0,0.0
"Thompson N., 2024, BMC Geriatrics",10.1186/s12877-024-04965-8,0,0.0,0.0
"Thompson N., 2024, Conflict and Health",10.1186/s13031-024-00592-7,0,0.0,0.0
"Thomsen H.S., 2024, BMC Nursing",10.1186/s12912-024-01888-y,0,0.0,0.0
"Thorud H.-M.S., 2024, BMC Pediatrics",10.1186/s12887-024-04681-7,0,0.0,0.0
"Thursby S., 2024, BMC Medical Education",10.1186/s12909-024-05306-4,0,0.0,0.0
"Tian Y., 2024, Scientific Reports",10.1038/s41598-024-59865-z,0,0.0,0.0
"Tien Y.-H., 2024, Scientific Reports",10.1038/s41598-024-57675-x,0,0.0,0.0
"Tiruneh M.G., 2024, BMC Health Services Research",10.1186/s12913-024-10934-z,0,0.0,0.0
"To-Mai X.-H., 2024, Scientific Reports",10.1038/s41598-024-57513-0,0,0.0,0.0
"Toni E., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02507-1,0,0.0,0.0
"Toor T., 2024, Journal of Patient-Reported Outcomes",10.1186/s41687-024-00721-z,0,0.0,0.0
"Torri V., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02506-2,0,0.0,0.0
"Torsello M., 2024, Pediatric Surgery International",10.1007/s00383-024-05679-z,0,0.0,0.0
"Touma S., 2024, International Journal of Retina and Vitreous",10.1186/s40942-024-00555-3,0,0.0,0.0
"Trabitzsch J., 2024, BMC Cancer",10.1186/s12885-024-12294-7,0,0.0,0.0
"Tran P.B., 2024, Health Research Policy and Systems",10.1186/s12961-024-01113-x,0,0.0,0.0
"Tsega Y., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00543-2,0,0.0,0.0
"Tucker R., 2024, Archives of Public Health",10.1186/s13690-024-01283-8,0,0.0,0.0
